JobSummary	Education
"Data Modeler
Strong knowledge of conceptual, logical, and physical data models, business operating models, data management principles and process engineering acquired through completion of a bachelor's degree in business, economics, finance, information science, or related field and a minimum of 4 years of related experience or a master's degree in a related field and 3 years of related experience. Must possess clear, concise, and effective verbal and written communication, including the ability to effectively communicate with technical personnel, business customers, and management, and proven ability to think conceptually and abstractly. Crisp business execution and project management rigor are required along with a demonstrated commitment to a strong customer service philosophy. Metadata Specialist
Strong knowledge of data and metadata management principles, business analysis and process engineering acquired through completion of a bachelor's degree in business, economics, finance, information science, or related field and a minimum of 4 years of related experience or a master's degree in a related field and 3 years of related experience. Must possess clear, concise, and effective verbal and written communication, including the ability to effectively communicate with technical personnel, business customers, and management, and proven ability to think conceptually and abstractly. Crisp business execution and project management rigor are required along with a demonstrated commitment to a strong customer service philosophy. OGDA
Strong knowledge of the requirements of OGDA, data management principles and process engineering. Must possess clear, concise, and effective verbal and written communication, including the ability to effectively communicate with technical personnel, business customers, and management. Crisp business execution and project management rigor are required along with a demonstrated commitment to a strong customer service philosophy. Preferred Skills Include: Certification as a Certified Data Management Professional, Six Sigma, or Project Management Professional. Strong knowledge of organizational change, policy development, strategic planning."	A bachelor's degree in business, economics, finance, information science, or related field or a minimum of 5 years of related experience or a master's degree in a related field and 4 years of related profession experience.
Qualifying experience for the EL-12 level includes one year of specialized experience at least equivalent to EL/GS-12 which is in or directly related to the line of work of the position to be filled and which has equipped the applicant with the particular knowledge, skills, and abilities to successfully perform the duties of the position Examples of specialized experience include the following: Experience maintaining optimal data pipeline architectures for analytical platforms that are aligned with the business requirements delivering reliability and scalability. Experience assembling data sets that meet functional / non-functional business requirements including preparation of data for prescriptive and predictive modeling Experience working with end users to assist with data-related technical issues Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.	
"Applicants must have a minimum of one year of specialized experience at a level of difficulty and responsibility comparable to the next lower grade or comparable pay band in the Federal service or equivalent experience in the private sector.
Specialized Experience Statement: Candidates must possess at least one year of specialized experience, equivalent in responsibility to the NF-14 level in the Federal service, aligning data policy and administration with relevant regulatory, legal, and ethical mandates for a major organization or institution.
Other Relevant Eligibility Criteria: None
Your application and resume must demonstrate that you possess the following knowledge, skills and abilities (KSAs). Do not provide a separate narrative written statement. Rather, you must show in your r&eacute;sum&eacute; how your past work experience demonstrates that you possess the KSAs identified below. If asked to do so, cite specific examples of employment or experience contained in your resume and describe how this experience has prepared you to successfully perform the duties of this position. DO NOT write ""see resume"" in your application!Those applicants who meet the minimum qualification requirements will be evaluated against these factors to determine the best-qualified candidates. Demonstrated knowledge of the following: data structure, information systems/tools, related software and data management, enterprise content management, and record-keeping policies and practices in a complex organizational environment. Information strategy experience &mdash; Experience in strategic technology planning and execution, and policy development and maintenance. Analytical skills &mdash; Outstanding analytical and problem-solving abilities. Familiarity with business information generation and analysis methods. Ability to establish and manage appropriate-sized and skilled organization of data analytic professionals and lead the development of the program as defined in the Data Analytics Framework/Roadmap. Ability to partner across the enterprise for the successful implementation of the Data Analytics program in the various business units. Develop policies/procedures that clarify business lead data analytics work versus the enterprise lead data analytics work. Establish external network of leading data analytics experts to bring new/emerging technologies and best practices to the Gallery&rsquo;s program. GS-5 through GS-15 (or equivalent): For all positions individuals must have IT-related experience demonstrating each of the four competencies listed below. The employing agency is responsible for identifying the specific level of proficiency required for each competency at each grade level based on the requirements of the position being filled. Attention to Detail - Is thorough when performing work and conscientious about attending to detail.
Customer Service - Works with clients and customers (that is, any individuals who use or receive the services or products that your work unit produces, including the general public, individuals who work in the agency, other agencies, or organizations outside the Government) to assess their needs, provide information or assistance, resolve their problems, or satisfy their expectations; knows about available products and services; is committed to providing quality products and services.
Oral Communication - Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately.
Problem Solving - Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations."	Education cannot be substituted for experience required for this position. Education combined with required experience is preferred. You are strongly encouraged to submit a copy of your transcripts (or a list of your courses including titles, credit hours completed and grades). Unofficial transcripts will be accepted in the application package. Official transcripts will be required from all selectees prior to receiving an official offer.Click here for information on Foreign Education.Education: All academic degrees and coursework must be from accredited or pre-accredited institutions.Candidate has a bachelor&rsquo;s degree (master&rsquo;s degree preferred) in information technology, computer science, system engineering, or equivalent degree.
For all IT positions, individuals must have IT-related experience demonstrating each of the four competencies listed below: Attention to Detail - Is thorough when performing work and conscientious about attending to detail. Customer Service - Works with clients and customers (that is, any individuals who use or receive the services or products that your work unit produces, including the general public, individuals who work in the agency, other agencies, or organizations outside the Government) to assess their needs, provide information or assistance, resolve their problems, or satisfy their expectations; knows about available products and services; is committed to providing quality products and services. Oral Communication - Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately. Problem Solving - Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations. AND You qualify at the GS-11 level, if you meet one of the following qualification requirements: Completed a Ph.D. or equivalent doctoral degree, in computer science, engineering, information science, information systems management, mathematics, operations research, statistics, or technology management OR a degree that provided a minimum of 24 semester hours in one or more of the fields identified above and required the development or adaptation of applications, systems or networks, or three (3) full years of progressively higher level graduate education in one of the areas described above leading to such a degree; OR You must demonstrate in your resume at least one (1) year of qualifying experience equivalent to at least the GS-09 level in the Federal service obtained in either the private or public sector, performing the following types of tasks: serving as a technical specialist in implementing and supporting hosting infrastructure technologies; utilizing network and system scanning tools to detect security risks and vulnerabilities; participating with other specialists on maintaining enterprise operating systems; providing assistance to customers in support of application systems hosted on an organization's servers; and responding to user inquiries and problem reports regarding supported applications. You will receive credit for all experience material to the position, including experience gained in religious, civic, welfare, service, and organizational activities, regardless of whether you received pay. Do not copy and paste the duties, specialized experience, or occupational assessment questionnaire from this announcement into your resume as that will not be considered a demonstration of your qualifications for this position. Preview assessment questionnaire before you apply: https://apply.usastaffing.gov/ViewQuestionnaire/11555041	If you qualify based on education in lieu of specialized experience, you are strongly encouraged to submit a copy of your transcripts or a list of your courses including titles, credit hours completed and grades. Unofficial transcripts will be accepted in the application packages. Official transcripts will be required from all selectees prior to receiving an official offer. Click here for information on Foreign Education.
For all IT positions, individuals must have IT-related experience demonstrating each of the four competencies listed below: Attention to Detail - Is thorough when performing work and conscientious about attending to detail. Customer Service - Works with clients and customers (that is, any individuals who use or receive the services or products that your work unit produces, including the general public, individuals who work in the agency, other agencies, or organizations outside the Government) to assess their needs, provide information or assistance, resolve their problems, or satisfy their expectations; knows about available products and services; is committed to providing quality products and services. Oral Communication - Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately. Problem Solving - Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations. AND You qualify at the GS-11 level, if you meet one of the following qualification requirements: Completed a Ph.D. or equivalent doctoral degree, in computer science, engineering, information science, information systems management, mathematics, operations research, statistics, or technology management OR a degree that provided a minimum of 24 semester hours in one or more of the fields identified above and required the development or adaptation of applications, systems or networks, or three (3) full years of progressively higher level graduate education in one of the areas described above leading to such a degree; OR You must demonstrate in your resume at least one (1) year of qualifying experience equivalent to at least the GS-09 level in the Federal service obtained in either the private or public sector, performing the following types of tasks: serving as a technical specialist in implementing and supporting hosting infrastructure technologies; utilizing network and system scanning tools to detect security risks and vulnerabilities; participating with other specialists on maintaining enterprise operating systems; providing assistance to customers in support of application systems hosted on an organization's servers; and responding to user inquiries and problem reports regarding supported applications. Do not copy and paste the duties, specialized experience, or occupational assessment questionnaire from this announcement into your resume as that will not be considered a demonstration of your qualifications for this position. You will receive credit for all experience material to the position, including experience gained in religious, civic, welfare, service, and organizational activities, regardless of whether you received pay. Preview assessment questionnaire before you apply: https://apply.usastaffing.gov/ViewQuestionnaire/11555053	If you qualify based on education in lieu of specialized experience, you are strongly encouraged to submit a copy of your transcripts or a list of your courses including titles, credit hours completed and grades. Unofficial transcripts will be accepted in the application packages. Official transcripts will be required from all selectees prior to receiving an official offer. Click here for information on Foreign Education.
You must meet the qualification requirements by 11:59 pm Eastern Time on the closing date of the announcement. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience. If you are a federal employee, the level of experience we are looking for is typically gained in a GS-14, GS-15, or equivalent-level position. Technical qualifications The technical qualifications describe the necessary professional and technical knowledge, skills, and competencies needed to successfully perform the duties of this position. The technical qualifications for this position are: Experience working with an organization's leadership and senior executives to create a data governance or management strategy. Experience conducting a data maturity assessment to determine gaps in an organization's data governance or management processes. Experience selecting and implementing security and privacy controls to protect federal information systems. Experience establishing data architecture guidance to ensure that data systems have consistent metadata. Experience participating in an enterprise-wide data governance body consisting of business and technical stakeholders to: 1) identify the scope of the data that needs to be managed; 2) prioritize key data-related issues; 3) establish needed policies; and 4) implement processes and solutions to address requirements.	This position does not have education requirements.
"Qualifications required: The FRTF is a fast paced and ever-changing environment. FRTF engages across the Department, Federal agencies and the White House to facilitate the reunification of families separated by the prior Administration. Detailees will be expected to quickly take ownership of their portfolio and drive projects forward. Best suited candidates would be comfortable with uncertainty and be able to hit the ground running with minimal management. Evaluating, analyzing and/or interpreting data results by utilizing data analytic tools, models, methods and techniques; Developing analyzing biographic and/or demographic data obtained from a variety of internal/external sources to assess validity and identify trends; and Evaluating, analyzing and/or interpreting data results by utilizing data analytic tools, models, methods and techniques; Ability to express and present ideas regarding complex topics to the team through both written and oral communications. Previous experience in Microsoft Excel, Word, PowerPoint, SQL, Tableau and/or other analytical tools to identify patterns and correlations among various data points to determine trends and makes significant recommendations leadership. Please read the following important information to ensure we have everything we need to consider your application:
It is your responsibility to ensure that you submit appropriate documentation prior to the closing date. Your resume serves as the basis for qualification determinations and must highlight your most relevant and significant experience as it relates to this Joint Duty assignment opportunity announcement. Be clear and specific when describing your work history since human resources cannot make assumptions regarding your experience. Your application will be rated based on your resume. Please ensure EACH work history includes ALL of the following information: Job Title (Include series and grade of Federal Job) Duties (Be specific in describing your duties) Name of Federal agency Supervisor name, email, and phone number Start and end dates including month and year (e.g. June 2007 to April 2008)"	EDUCATIONAL SUBSTITUTION: There is no educational substitution for this position.
"Applicants must have demonstrated experience as listed below. This requirement is according to the AO Classification, Compensation, and Recruitment Systems which include interpretive guidance and reference to the OPM Operating Manual for Qualification Standards for General Schedule Positions. Specialized Experience: Applicants must have at least one full year (52 weeks) of specialized experience which is in or directly related to the line of work of this position. Specialized experience is demonstrated experience in the following: Demonstrated experience and/or intimate exposure to Enterprise infrastructure and Enterprise data architectures, data modeling, data warehouse/data mart design, systems integration, ETL development, reporting/visualization tools, and data warehousing concepts. Experience in SAP Business Objects suite of tools including Universe design, WEBI and report development. Experience with developing dashboards using Tableau, Administration of Tableau and Business Objects applications. Advanced/strong SQL scripting. Preferred Qualifications: - Knowledge of and experience with an ETL tool is strongly desired.
- Working knowledge of other reporting tools like SSRS and PowerBI is a plus.
- Experience with Erwin, Python, Java, JavaScript is a plus."	This position does not require education to qualify.
To qualify for an IT Specialist (DATAMGT/APPSW) position your resume and supporting documentation must support: A. Specialized Experience: One year of specialized experience that equipped you with the particular competencies to successfully perform the duties of the position and is directly in or related to this position. To qualify at the GS-13 level, applicants must possess one year of specialized experience equivalent to the GS-12 level or equivalent under other pay systems in the Federal service, military, or private sector. Applicants must meet eligibility requirements including time-in-grade (General Schedule (GS) positions only), time-after-competitive appointment, minimum qualifications, and any other regulatory requirements by the cut-off/closing date of the announcement. Creditable specialized experience includes: Conceptualizing, developing, testing, and maintaining dashboard metrics for leadership decision-making. Working with Microsoft 365 cloud-based applications including Teams, SharePoint on-line, and Power Suite. Performing data transformation, modeling, and analysis for managing business intelligence for an organization. Leading an organization's records management and web content management with an understanding of organizational knowledge management. For all positions individuals must have IT-related experience demonstrating each of the four competencies listed below: 1. Attention to Detail - Is thorough when performing work and conscientious about attending to detail. 2. Customer Service - Works with clients and customers (that is, any individuals who use or receive the services or products that your work unit produces, including the general public, individuals who work in the agency, other agencies, or organizations outside the Government) to assess their needs, provide information or assistance, resolve their problems, or satisfy their expectations; knows about available products and services; is committed to providing quality products and services. 3. Oral Communication - Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately. 4. Problem Solving - Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations.	Substitution of education may not be used in lieu of specialized experience for this grade level.
"You must meet the following requirements by the closing date of this announcement. Specialized experience: For the GS-13, you must have one year of specialized experience at a level of difficulty and responsibility equivalent to the GS-12 grade level in the Federal service. Specialized experience for this position includes: - Experience using SQL (Structured Query Language); AND
- Data Analysis using Python or R.; AND
- Developing and creating Data Visualization using data analysis tools like excel, PowerBI and/or Tableau; AND
- Using statistical techniques like regression analysis; AND
- Working with Hadoop tools and MS Azure Analytics tools. In addition to meeting specialized experience, applicants must also show proficiency in IT-related experience demonstrating each of the competencies listed below: 1. Attention to Detail - Is thorough when performing work and conscientious about attending to detail.
2. Customer Service - Works with clients and customers (that is, any individuals who use or receive the services or products that your work unit produces, including the general public, individuals who work in the agency, other agencies, or organizations outside the Government) to assess their needs, provide information or assistance, resolve their problems, or satisfy their expectations; knows about available products and services; is committed to providing quality products and services.
3. Oral Communication - Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately.
4. Problem Solving - Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations."	
